,Name,CID,Melting Point
306,Atrazine,[2256],177.0 °C
307,ETHYL METHYL ETHER,[10903],-113 °C
308,ETHYL NITRATE,[12259],-94.6 °C
309,ETHYL NITRITE,[8026],FP: -58 °F= -50 °C= 233 deg K
310,Ascorbyl palmitate,[54680660],112 °C
311,ARSENIC TRIOXIDE,[14888],313 °C (claudetite); 274 °C (arsenolite)
312,ARSENIC TRIIODIDE,[24575],140.9 °C
313,ARSENIC TRIFLUORIDE,[24571],-5.9 °C
314,ARSENIC TRICHLORIDE,[24570],-16 °C
315,ETHYLCELLULOSE,[24832091],240-255 °C
316,ETHYLDICHLOROARSINE,[11711],-65 °C
317,ARSENIC TRIBROMIDE,[24569],31.1 °C
318,2-CHLOROETHANOL,[34],-67.5 °C
319,ETHYLENE CYANOHYDRIN,[8011],-46 °C
320,ARSENIC TRISULFIDE,[71586773],310 °C
321,ARSENIC PENTOXIDE,[14771],315 °C
322,ETHYLENE GLYCOL DIACETATE,[8121],-31 °C
323,ARSENIC ACID,[234],35 °C
324,ARSANILIC ACID,[7389],232 °C
325,HYDRALAZINE HYDROCHLORIDE,[9351],Decomposes at 273 °C
326,ETHYLENE GLYCOL MONOBUTYL ETHER ACETATE,[8160],Freezing point: -63.5 °C
327,Antimony triiodide,[24630],171 °C
328,Antimony trifluoride,[24554],287 °C
329,Antimony trichloride,[24814],73.4 °C
330,Antimony tribromide,[24615],97 °C
331,Antimony pentafluoride,[24557],8.3 °C
332,Antimony pentachloride,[24294],4 °C
333,P-ANISOYL CHLORIDE,[7477],22 °C
334,FERRIC ARSENATE,[61477],Melting point: decomposes /Dihydrate/
335,FERRIC CHLORIDE,[24380],304 °C
336,FERRIC NITRATE,[25251],"MP: 47 °C. Freely soluble in water, alcohol, acetone; slightly soluble in cold concentrated nitric acid. /Ferric nitrate nonahydrate/"
337,FERROUS CARBONATE,[11248],MP: Decomposes
338,FERROUS CHLORIDE,[24458],674 °C
339,FERROUS CITRATE,"[10007596, 11064683, 14298643]","White microscopic rhombic, orthorhombic crystals; mp: decomposition at 350 °C in molecular hydrogen; soluble in ammonium hydroxide. /Monohydrate/"
340,FERROUS GLUCONATE,"[198008, 16212939, 23616740, 24978524, 71311162]","The melting point for D-gluconic acid, ferrous salt dihydrate (98%) is 188 °C, decomposes. The specific optical rotation is +6.7 deg at 25 °C (c=1, H2O). /Dihydrate/"
341,FERROUS OXALATE,[10589],MP: DECOMP 190 °C /DIHYDRATE/
342,FERROUS OXIDE,[14945],1377 °C
343,FLUOSULFONIC ACID,[24603],-89 °C
344,n-Amyl mercaptan,[8067],-75.69 °C
345,DIAMMONIUM SULFIDE,[25519],Approximately 0 °C; decomposes
346,Ammonium sulfate,[6097028],280 °C (decomposes)
347,AMMONIUM SILICOFLUORIDE,[28145],"TWO MODIFICATIONS @ ROOM TEMP: STABLE, CUBIC PHASE; METASTABLE, TRIGONAL PHASE"
348,Ammonium perchlorate,[24639],130 °C
349,AMMONIUM NITRATE,[22985],169.7 °C
350,AMMONIUM IODIDE,[25487],551 °C SUBLIMES
351,AMMONIUM FORMATE,[2723923],116 °C
352,AMMONIUM BIFLUORIDE,[14935],125.6 °C
353,AMMONIUM DICHROMATE,[24600],Decomposes 180 °C
354,AMMONIUM CHLORIDE,[25517],520.1 (triple point; decomposes)
355,GERANIOL,[637566],-15 °C
356,AMMONIUM CARBAMATE,[517232],60 °C SUBLIMES
357,GLUCONIC ACID,[10690],131 °C
358,GLUCONOLACTONE,[7027],155 °C /decomposes/
359,D(+)-Glucose,"[24749, 107526]",146 °C
360,GLUTAMIC ACID,[33032],213 °C (OECD Guideline 102 (Melting point / Melting Range))
361,AMMONIUM BICARBONATE,[14013],107 °C (decomposes)
362,GLYCERIN,[753],18.1 °C
363,GLYCEROL MONOOLEATE,"[33022, 5283468, 5364833, 11451146]",25 °C (UNSTABLE)
364,GLYCIDYL METHACRYLATE,[7837],freezing pt: -41.5 °C
365,GLYCINE,[750],290 °C decomposes
366,GLYCYRRHIZIN,"[3495, 14982, 128229, 9897518, 16213698, 16395512, 44260118, 45356931, 45358013, 45358130, 46783814, 53312460, 78577433, 134129369, 137706400, 138106958, 154723989]",220 °C decomposes
367,GLYOXAL,[7860],15 °C
368,SUCROSE,[5988],185.5 °C
369,Bis(chloromethyl) ether,[10967],-41.5 °C
370,BIS(2-CHLOROETHYL) ETHER,[8115],-51.9 °C
371,BIS(2-CHLORO-1-METHYLETHYL) ETHER,[7944],-96.8 TO -101.8 °C
372,Nitrous oxide,[948],-90.8 °C
373,ALLYL GLYCIDYL ETHER,[7838],FREEZING POINT: FORMS GLASS @ -100 °C
374,Aluminum oxide,[9989226],2030 °C
375,"ALUMINUM, ELEMENTAL",[5359268],660 °C
376,"Antimony, elemental",[5354495],630.028 °C (gray antimony); trans gray 0 (black antimony)
377,ARSINE,[23969],-116 °C
378,"BERYLLIUM, ELEMENTAL",[5460467],1287 °C
379,Bisphenol A,[6623],160 °C
380,BROMINE,[24408],-7.2 °C
381,N-BUTYLAMINE,[8007],-50 °C
382,Carbon dioxide,[280],-56.558 °C (triple point)
383,Chlorine dioxide,[24870],-59 °C
384,CHROMIC TRIOXIDE,[14915],197 °C
385,"Cobalt, elemental",[104730],"1,495 °C"
386,DIBORANE,[6328200],-165 °C
387,"1,2-DICHLOROBENZENE",[7239],-16.7 °C
388,"1,3-DICHLOROBENZENE",[10943],-24.8 °C
389,"1,4-Dichlorobenzene",[4685],53.1 °C
390,DIETHYLAMINE,[8021],-50 °C
391,DIETHYLENETRIAMINE,[8111],-39 °C
392,DIISOBUTYL KETONE,[7958],-41.5 °C
393,"1,1-DIMETHYLHYDRAZINE",[5976],-58 °C
394,"2,4-Dinitrophenol",[1493],114.8 °C
395,BIPHENYL,[7095],69 °C
396,2-AMINOETHANOL,[700],10.4 °C
397,Ethyl bromide,[6332],-118.4 °C
398,ETHYL CHLORIDE,[6337],-138.7 °C
399,Ethyl silicate,[6517],-82.5 °C
400,ETHYLENEDIAMINE,[3301],8.5 °C
401,Ethylene dibromide,[7839],9.8 °C
402,Ethylene glycol dinitrate,[40818],-22.3 °C
403,ETHYLENE GLYCOL MONO-N-BUTYL ETHER,[8133],-74.8 °C
404,ETHYLENE GLYCOL MONOETHYL ETHER ACETATE,[8095],-61.7 °C
405,ETHYLENEIMINE,[9033],Freezing point: -71.5 °C
406,FLUORINE,[24524],-219.67 °C (triple point)
407,FURFURAL,[7362],-38.1 °C
408,2-HEXANONE,[11583],-55.5 °C
409,Hydrazine,[9321],1.54 °C
410,HYDROGEN CHLORIDE,[313],-114.22 °C
411,Hydrogen fluoride,[14917],-83.57 °C
412,Hydrogen peroxide,[784],-0.43 °C
413,HYDROGEN SELENIDE,[533],-65.73 °C
414,LITHIUM HYDRIDE,[62714],688.7 °C
415,"MANGANESE, ELEMENTAL",[23930],1246 °C
416,"HAFNIUM, ELEMENTAL",[23986],2233 °C
417,HELIUM,[23987],No triple point
418,HEPTACHLOR,[3589],95-96 °C
419,AMMONIUM BENZOATE,[15830],198 °C (DECOMP)
420,AMMONIUM ACETATE,[517165],114 °C
421,HEXAETHYLTETRAPHOSPHATE,[12960],-40 °C
422,HEXAFLUOROPHOSPHORIC ACID,[16211447],MP: 31 °C (6H2O) /Hexahydrate/
423,HEXALDEHYDE,[6184],-58.2 °C
424,AMINOCARB,[16247],93-94 °C
425,HEXAMETHYLENEIMINE,[8119],-37 °C
426,METHENAMINE,[4101],Sublimes at about 260 °C without melting and with partial decomposition
427,AMIBEN,[8630],200-201 °C
428,1-HEXANOL,[8103],-44.6 °C
429,HEXYLRESORCINOL,[3610],67.5-69 °C
430,BENZETHONIUM CHLORIDE,[8478],164-166 °C (HOT STAGE)
431,Hydrogen bromide,[260],-86.80 °C
432,ALUMINUM NITRATE,[26053],Melting point 73.5 °C. Decomposition to nitric acid and basic aluminum nitrates ... begins at 130 °C. Dissociation to aluminum oxide and oxides of nitrogen occurs above 500 °C.  /Nonahydrate/
433,HYDROGEN SULFIDE,[402],-85.49 °C
434,HYDROQUINONE,[785],170-171 °C
435,HYDROXYLAMINE,[787],33 °C
436,Piperonal,[8438],37 °C
437,STANNOUS CHLORIDE,[24479],246 °C
438,TRISODIUM PHOSPHATE,[24243],1583 °C
439,Erythorbic acid,[54675810],Decomposes at 174 °C
440,TRIACETIN,[5541],-78 °C
441,DIISOOCTYL PHTHALATE,[33934],-4 °C /From Table/
442,SORBIC ACID,[643460],134.5 °C
443,PROPYL GALLATE,[4947],147-149 °C
444,MENTHOL,[1254],-8 °C
445,CITRONELLAL,[7794],147 °C
446,HYDROXYPROPYL METHACRYLATE,[13539],-89 °C
447,INDOLE,[798],52 °C
448,ALUMINUM FLUORIDE,[2124],1291 °C
449,IODINE MONOCHLORIDE,[24640],ALPHA 27.2; BETA 13.9 °C
450,ISOPROPYL PHENYLCARBAMATE,[24685],90 °C
451,Propoxur,[4944],87 °C
452,"IRON, ELEMENTAL",[23925],"1,538 °C"
453,ISOAMYL ALCOHOL,[31260],-117.2 °C
454,ALUMINUM CHLORIDE,[24012],192.6 °C
455,Isobutane,[6360],-138.3 °C
456,ISOBUTYL ACETATE,[8038],-98.8 °C
457,ISOBUTYL ACRYLATE,[7819],-61 °C
458,ISOBUTYLAMINE,[6558],-85 °C
459,Isobutylene,[8255],-140.7 °C
460,ISOBUTYRALDEHYDE,[6561],-65.9 °C
461,ISODECYL ACRYLATE,[14899],-100 °C
462,ISODECYL ALCOHOL,[32898],FP: LESS THAN 140 °F= LESS THAN 60 °C= LESS  THAN 333 DEG K
463,ALLYL ISOTHIOCYANATE,[5971],-80 °C
464,Isopentane,[6556],-159.8 °C
465,ISOPHORONE,[6544],-8.1 °C
466,Isoprene,[6557],-145.95 °C
467,ALLYL CHLOROFORMATE,[18052],Freezing point: -112 °F = -80 °C = 193 K
468,ALLYL BROMIDE,[7841],-119 °C
469,2-BROMOPROPANE,[6358],-89.0 °C
470,ISOPROPYL ETHER,[7914],-86.8 °C
471,ISOPROPYL MERCAPTAN,[6364],-130.7 °C
472,Isopropyl myristate,[8042],Approximately 3 °C
473,ADIPONITRILE,[8128],1-3 °C
474,3-METHYLBUTANAL,[11552],-51 °C
475,ISOVALERIC ACID,[10430],-29.3 °C
476,DICOFOL,[8268],77.5 °C
477,KETENE,[10038],-150 °C
478,ACRIDINE,[9215],111 °C; 106 °C (form a); 110 °C (form b)
479,ACONITIC ACID,"[309, 444212, 643757]",194-195 °C (WITH DECOMP)
480,LEAD IODIDE,[24931],410 °C
481,LEAD NITRATE,[24924],470 °C
482,Lead(II) Oxide,[14827],887 °C
483,Lead(II) Sulfide,[14819],1113 °C
