,Name,CSID,SMILES,Melting Point (C)
25,Dodecyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside,102836,O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O[C@@H]1[C@@H](CO)O[C@@H](OCCCCCCCCCCCC)[C@H](O)[C@H]1O,150
26,".alpha.-d-glucopyranoside, methyl",2024,OC1C(O)C(O)C(CO)OC1OC,168
,d-xylose,831,OC(C=O)C(O)C(O)CO,90.5
28,".beta.-d-glucopyranose, 4-o-.beta.-d-galactopyra",5904,OC2C(OC1OC(CO)C(O)C(O)C1O)C(CO)OC(O)C2O,254
,l-arabinose,224,OC1C(O)COC(O)C1O,158
,galactose,201,OC1C(O)C(CO)OC(O)C1O,170
,alpha-d-glucose,201,OC1C(O)C(CO)OC(O)C1O,146
,glucose,201,OC1C(O)C(CO)OC(O)C1O,83
33,".alpha.-d-glucopyranose, pentaacetate",71396,O=C(C)OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,113.3
34,"beta-d-glucopyranose, pentaacetate",71396,O=C(C)OC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,134
35,d-galacturonic acid,134737,OC(C(O)C(O)C(O)C=O)C(=O)O,166
36,"d-fructose, 3-o-.alpha.-d-glucopyranosyl-",190428,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(=O)CO,168
,"d-fructose, 3-o-.alpha.-d-glucopyranosyl-",190428,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(=O)CO,168
,rhamnose,190747,OC(C)C(O)C(O)C(O)C=O,122
,l-fucose,190747,OC(C)C(O)C(O)C(O)C=O,140
40,d-fucose,190747,OC(C)C(O)C(O)C(O)C=O,144
41,"beta-d-glucopyranoside, 4-nitrophenyl",227670,[O-][N+](=O)c1ccc(cc1)OC2OC(CO)C(O)C(O)C2O,166.5
42,"?-d-glucopyranoside, 4-nitrophenyl",227670,[O-][N+](=O)c1ccc(cc1)OC2OC(CO)C(O)C(O)C2O,211
43,cellobiose,268424,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,240
44,5-thio-d-glucose,271575,OC1C(O)C(CO)SC(O)C1O,135.5
45,"beta-d-glucopyranoside, phenyl",277113,OCC2OC(Oc1ccccc1)C(O)C(O)C2O,177
46,acetobromglucose,306631,O=C(C)OC1OC(CBr)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,88.5
47,4-methoxyphenyl glucopyranoside,337197,COc1ccc(cc1)OC2OC(CO)C(O)C(O)C2O,159
48,"glucopyranoside, propyl, tetranitrate, ?-d-",10469321,[O-][N+](=O)OCC1OC(OCCC)C(O[N+]([O-])=O)C(O[N+]([O-])=O)C1O[N+]([O-])=O,199
49,"glucopyranoside, butyl, tetranitrate, ?-d-",10469328,[O-][N+](=O)OCC1OC(OCCCC)C(O[N+]([O-])=O)C(O[N+]([O-])=O)C1O[N+]([O-])=O,199
,"glucopyranoside, ethyl, tetranitrate, ?-d-",10469338,CCOC1OC(CO[N+]([O-])=O)C(O[N+]([O-])=O)C(O[N+]([O-])=O)C1O[N+]([O-])=O,199
51,2-Deoxy-2-[(methoxycarbonyl)amino]-beta-D-glucopyranose,21474808,O=C(OC)N[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@H]1O)CO,195.85
52,N-Carbamoyl-beta-D-glucopyranosylamine,2095571,O=C(N[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)N,207
,D-galactose,2301265,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,167
,glucose,71358,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,150.5
,glucose,71358,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,146
,glucose,71358,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,146
,glucose,71358,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,146.85
,glucose,71358,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,146
